,ds,yhat,yhat_lower,yhat_upper
0,2023-01-01,384770384.9448767,347610510.47505367,425120180.41421074
1,2023-01-02,410680452.3359989,366541368.6192496,444787208.191358
2,2023-01-03,420833693.3000542,384907442.3468074,459780942.3230534
3,2023-01-04,425020025.1972335,388586896.4653077,461716279.610063
4,2023-01-05,429536164.9879293,390397680.9160253,468329354.8678083
5,2023-01-06,451166372.47803265,417174142.3829121,484473534.5175335
6,2023-01-07,422099227.0334962,381396271.26703906,457752484.3313339
7,2023-01-08,382925051.1603549,349952637.45966864,417120187.50029784
8,2023-01-09,411618671.2556346,372481758.5169298,452844466.05105066
9,2023-01-10,424457656.4865477,388301639.74087113,461630756.11898494
10,2023-01-11,431186284.3396121,395521504.0605627,467048810.2745441
11,2023-01-12,438055738.77680045,397303508.0693679,472315341.8875004
12,2023-01-13,461821734.7446711,428282057.67044914,499293505.70222414
13,2023-01-14,434556250.64922816,399045757.6590049,472510965.7772933
14,2023-01-15,396861421.9145576,358398807.74741894,435162737.5201942
15,2023-01-16,426773696.4232873,390272247.2882082,460702199.7846826
